"","GZA_HINCD","HIZ_HINNM","HIZ_SIZEN","HIZ_YORYO","HIZ_JURKB","HIZ_IRISU","GZA_HTANK","GZA_ZAIKB","GZA_ZSHNO","GZA_NYKNO","GZA_NSKKB","GZA_NKYMD","GZA_UPYMD","GZA_MOTOK","GZA_MKING","GZA_GENZA","GZA_JUCHU","KAD_COPRM","KAD_FCTRM","GZA_GENCD","GZA_KAKCD","GZA_IKUCD","GZA_TAICD","GZA_KURCD","TGEN_GENNM","TKAK_GENNM","TIKU_IKUNM","TTAI_TAINM"
"25","015110250","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","50","1000","G","10","950","0","0281042013077001","","00","2020-05-01","2020-05-02","8","7600","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"26","015118135","Vﾕｳﾄｳｴﾋﾞﾏﾚｰｼｱﾖｳｼﾖｸ","35","600","G","10","0","0","0281042010280001","","00","2020-05-04","2020-05-02","100","65000","100","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"27","015310953","Vﾕｳﾄｳｴﾋﾞﾎﾞｲﾙ","LL","1000","G","10","0","0","0281042011065001","","00","2020-03-31","2020-03-31","0","12500","0","0","大京１","","     ","     "," ","01","020732","","","","加工食品"
"28","015521420","Vﾕｳﾄｳｴﾋﾞｿﾌﾄﾀｲﾖｳｼﾖｸ","20","500","G","20","350","0","0281042013656001","","00","2020-04-17","2020-05-01","40","14000","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"29","015804726","Vﾑﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","26-30","4","P","6","2300","0","0281042009567001","","00","2020-04-06","2020-04-25","28","64448","19","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"30","015804726","Vﾑﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","26-30","4","P","6","2300","0","0281012191433001","131023-02-04","00","2020-02-07","2020-04-04","180","414000","30","0","(株)ベニレイ・ロジスティクス","城南島事業所","     ","     "," ","02","030397","","","","生鮮"
"31","015902530","Vﾕｳﾄｳｴﾋﾞﾍﾟﾙｰﾖｳｼﾖｸ","40-50","2000","G","10","1500","0","0281012189422001","1372793-03","00","2019-12-27","2020-01-16","270","405000","190","0","東京水産冷蔵（株）","豊海工場","     ","     "," ","02","010128","","","","生鮮"
"32","016110330","Vﾕｳﾄｳｴﾋﾞｲﾝﾄﾞﾖｳｼﾖｸ","40-50","1000","G","10","0","0","0281042013309001","","00","2020-03-31","2020-03-30","640","334080","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"33","016210231","Vﾕｳﾄｳｴﾋﾞﾎﾝｼﾞﾕﾗｽﾖｳｼﾖｸ","51-60","1000","G","18","0","0","0281042013029001","","00","2020-04-03","2020-04-03","36","30600","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"34","016302128","Vﾕｳﾄｳｴﾋﾞｻｳｼﾞｱﾗﾋﾞｱ","30-40ﾖｳｼﾖｸ","2000","G","6","0","0","0281042011756001","","00","2020-03-26","2020-03-26","0","0","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"35","016302131","Vﾕｳﾄｳｴﾋﾞｻｳｼﾞｱﾗﾋﾞｱ","50-60ﾖｳｼﾖｸ","2000","G","6","0","0","0281042012945001","","00","2020-04-02","2020-04-02","0","25200","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"36","016418338","Vﾕｳﾄｳｴﾋﾞﾀｲﾜﾝﾖｳｼﾖｸ","80-100","600","G","16","0","0","0281042011793001","","00","2020-05-02","2020-05-02","448","134400","208","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"37","016418357","Vﾕｳﾄｳｴﾋﾞﾀｲﾜﾝﾖｳｼﾖｸ","100-120","600","G","16","0","0","0281012191375001","30015097-00","00","2020-02-06","2020-04-06","1600","448000","0","0","五十嵐冷蔵（株）","大井物流センター","     ","     "," ","02","010235","","","","生鮮"
"38","016418357","Vﾕｳﾄｳｴﾋﾞﾀｲﾜﾝﾖｳｼﾖｸ","100-120","600","G","16","0","0","0281012193854001","30015097-00","00","2020-04-07","2020-04-20","2384","667520","0","0","五十嵐冷蔵（株）","大井物流センター","     ","     "," ","02","010235","","","","生鮮"
"39","016418357","Vﾕｳﾄｳｴﾋﾞﾀｲﾜﾝﾖｳｼﾖｸ","100-120","600","G","16","0","0","0281042011794001","","00","2020-04-21","2020-04-25","0","2960","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"40","021704015","Fﾑﾄｳｴﾋﾞﾏﾚｰｼｱ","8-12","4","P","6","0","0","0281042009726001","","00","2020-04-14","2020-05-02","12","60000","-6","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"41","021704022","Fﾑﾄｳｴﾋﾞﾏﾚｰｼｱ","13-15","4","P","6","4000","0","0281042008987001","","00","2020-04-16","2020-04-30","16","64000","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"42","022304013","Fﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱ","6-8","4","P","6","6100","0","0281012152053005","","00","2020-05-02","2020-05-02","13","79300","6","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"43","022304015","Fﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱ","8-12","4","P","6","4909","0","0281012114450001","","00","2020-04-27","2020-04-30","6","29400","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"44","022304022","Fﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱ","13-15","4","P","6","3964","0","0281042009076001","","00","2020-04-25","2020-05-02","12","48000","10","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"45","022404013","Fﾑﾄｳｴﾋﾞ2 ｲﾝﾄﾞﾈｼｱ","6-8","4","P","6","0","0","0287212336423001","","00","2020-04-17","2020-04-17","0","35400","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"46","022404015","Fﾑﾄｳｴﾋﾞ2 ｲﾝﾄﾞﾈｼｱ","8-12","4","P","6","0","0","0281042011439001","","00","2020-04-17","2020-04-17","0","30000","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"47","022404028","Fﾑﾄｳｴﾋﾞ2 ｲﾝﾄﾞﾈｼｱ","31-40","4","P","6","0","0","0281042011440001","","00","2020-05-01","2020-05-01","0","13200","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"48","022804013","Fﾑﾄｳｴﾋﾞｲﾝﾄﾞ","6-8","4","P","6","0","0","0281042011156001","","00","2020-05-01","2020-05-01","6","37800","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"49","022804015","Fﾑﾄｳｴﾋﾞｲﾝﾄﾞ","8-12","4","P","6","5568","0","0281042008135001","","00","2020-03-30","2020-04-30","6","32400","1","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"50","022804022","Fﾑﾄｳｴﾋﾞｲﾝﾄﾞ","13-15","4","P","6","0","0","0281042009053001","","00","2020-04-30","2020-05-02","6","26400","1","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"51","022804025","Fﾑﾄｳｴﾋﾞｲﾝﾄﾞ","21-25","4","P","6","2699","0","0281042007677001","","00","2020-04-02","2020-04-02","12","32400","12","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"52","022804028","Fﾑﾄｳｴﾋﾞｲﾝﾄﾞ","31-40","4","P","6","0","0","0281012132216001","","00","2020-05-02","2020-05-02","6","11400","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"53","022804030","Fﾑﾄｳｴﾋﾞｲﾝﾄﾞ","41-50","4","P","6","1800","0","0287212337157004","","00","2020-05-01","2020-05-01","9","16200","7","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"54","022804031","Fﾑﾄｳｴﾋﾞｲﾝﾄﾞ","51-60","4","P","6","0","0","0287212337157005","","00","2020-03-19","2020-04-27","3","5100","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"55","022872115","Fﾑﾄｳｴﾋﾞﾂｲﾝ ｲﾝﾄﾞPB","8-12","1800","G","6","5500","0","0287212337158001","","00","2020-04-28","2020-05-02","8","44000","2","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"56","022872122","Fﾑﾄｳｴﾋﾞﾂｲﾝ ｲﾝﾄﾞPB","13-15","1800","G","6","4499","0","0287212337158003","","00","2020-05-02","2020-05-02","12","54000","3","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"57","022872124","Fﾑﾄｳｴﾋﾞﾂｲﾝ ｲﾝﾄﾞPB","16-20","1800","G","6","3500","0","0287212337159001","","00","2020-05-01","2020-05-02","20","70000","2","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"58","022872125","Fﾑﾄｳｴﾋﾞﾂｲﾝ ｲﾝﾄﾞPB","21-25","1800","G","6","2700","0","0281042011301001","","00","2020-04-30","2020-05-02","8","21600","6","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"59","022904015","Fﾑﾄｳｴﾋﾞ2 ｲﾝﾄﾞ","8-12","4","P","6","5799","0","0287212337159003","","00","2020-04-10","2020-04-10","7","40600","7","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"60","022904022","Fﾑﾄｳｴﾋﾞ2 ｲﾝﾄﾞ","13-15","4","P","6","0","0","0287212337159005","","00","2020-04-24","2020-04-24","0","29700","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"61","022904024","Fﾑﾄｳｴﾋﾞ2 ｲﾝﾄﾞ","16-20","4","P","6","0","0","0281042011055001","","00","2020-04-27","2020-04-27","0","23400","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"62","023605335","Fﾕｳﾄｳｴﾋﾞｽﾘﾗﾝｶ","35","1500","G","6","1500","0","0281012186213001","882398006","00","2019-11-02","2020-01-23","252","378000","186","0","ホウスイ","豊海第二冷蔵庫","     ","     "," ","02","010060","","","","生鮮"
"63","023605335","Fﾕｳﾄｳｴﾋﾞｽﾘﾗﾝｶ","35","1500","G","6","1500","0","0281042012379001","","00","2020-01-24","2020-01-23","12","18000","12","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"64","025772013","BT(ST)ﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱ","6-8","1800","G","6","0","0","0281042011135001","","00","2020-04-21","2020-04-21","6","42000","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"65","027010230","TGﾕｳﾄｳｴﾋﾞｵｰｽﾄﾗﾘｱ","30","1000","G","10","0","0","0281042011882001","","00","2020-03-21","2020-03-21","0","0","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"66","031607030","BTﾕｳﾄｳｴﾋﾞﾍﾞﾄﾅﾑﾖｳｼﾖｸ","30","1300","G","6","1650","0","0281042007779001","","00","2020-05-01","2020-05-02","16","26400","4","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"67","031607040","BTﾕｳﾄｳｴﾋﾞﾍﾞﾄﾅﾑﾖｳｼﾖｸ","40","1300","G","6","1400","0","0281042005982001","","00","2020-03-26","2020-04-02","16","22400","14","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"68","031607050","BTﾕｳﾄｳｴﾋﾞﾍﾞﾄﾅﾑﾖｳｼﾖｸ","50","1300","G","6","1249","0","0281042007167001","","00","2020-04-18","2020-05-01","21","26250","17","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"69","031607060","BTﾕｳﾄｳｴﾋﾞﾍﾞﾄﾅﾑﾖｳｼﾖｸ","60","1300","G","6","0","0","0281042006016001","","00","2020-05-01","2020-05-01","0","0","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"70","031607120","BTﾕﾄｴﾋﾞﾂｲﾝﾍﾞﾄﾅﾑﾖｳｼﾖｸ","20","1300","G","6","2428","0","0210213152107002","","00","2020-04-25","2020-05-01","12","28800","11","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"71","031607125","BTﾕﾄｴﾋﾞﾂｲﾝﾍﾞﾄﾅﾑﾖｳｼﾖｸ","25","1300","G","6","1886","0","0210213174161010","","00","2020-04-06","2020-05-01","14","26316","10","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"72","031607130","BTﾕﾄｴﾋﾞﾂｲﾝﾍﾞﾄﾅﾑﾖｳｼﾖｸ","30","1300","G","6","0","0","0210213172943001","","00","2020-05-02","2020-05-02","6","9600","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"73","031607135","BTﾕﾄｴﾋﾞﾂｲﾝﾍﾞﾄﾅﾑﾖｳｼﾖｸ","35","1300","G","6","1549","0","0210213179804002","","00","2020-05-02","2020-05-02","12","18600","6","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"74","031607140","BTﾕﾄｴﾋﾞﾂｲﾝﾍﾞﾄﾅﾑﾖｳｼﾖｸ","40","1300","G","6","1321","0","0210213177250001","","00","2020-02-08","2020-03-19","20","26482","6","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"75","031607145","BTﾕﾄｴﾋﾞﾂｲﾝﾍﾞﾄﾅﾑﾖｳｼﾖｸ","45","1300","G","6","1350","0","0210213180663001","","00","2020-03-03","2020-03-26","6","8100","5","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"76","031607150","BTﾕﾄｴﾋﾞﾂｲﾝﾍﾞﾄﾅﾑﾖｳｼﾖｸ","50","1300","G","6","1250","0","0210213190201001","","00","2020-05-02","2020-05-02","30","37500","6","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"77","031607160","BTﾕﾄｴﾋﾞﾂｲﾝﾍﾞﾄﾅﾑﾖｳｼﾖｸ","60","1300","G","6","1075","0","0281042013278001","","00","2020-02-04","2020-05-02","10","10900","3","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"78","033607015","BTﾕｳﾄｳｴﾋﾞﾌｲﾘﾋﾟﾝﾖｳｼﾖｸ","15","1300","G","6","3305","0","0281012103694016","","00","2020-05-01","2020-05-02","26","82270","25","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"79","033607020","BTﾕｳﾄｳｴﾋﾞﾌｲﾘﾋﾟﾝﾖｳｼﾖｸ","20","1300","G","6","2580","0","0281012103506011","","00","2020-05-04","2020-05-02","18","46788","18","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"80","034307050","BTﾕﾄｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","50","1300","G","6","0","0","0210213209378002","","00","2020-04-20","2020-04-23","18","22500","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"81","034604008","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","4-6","4","P","6","0","0","0281042007824001","","00","2020-03-21","2020-03-21","6","39600","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"82","034604013","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","6-8","4","P","6","0","0","0281012104551005","","00","2020-03-31","2020-04-02","6","37800","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"83","034604015","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","8-12","4","P","6","4471","0","0281012103586012","","00","2020-04-24","2020-05-02","20","87162","15","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"84","034604022","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","13-15","4","P","6","3421","0","0281012103535005","","00","2020-05-01","2020-05-02","24","81600","7","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"85","034604024","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","16-20","4","P","6","2710","0","0281012103463008","","00","2020-05-02","2020-05-02","33","89430","3","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"86","034604024","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","16-20","4","P","6","2710","0","0281122005611001","050552-01-00","00","2020-02-06","2020-02-26","300","829200","0","0","東市ﾛｼﾞｽﾃｨｸｽ","","     ","     "," ","02","025375","","","","生鮮"
"87","034604024","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","16-20","4","P","6","2710","0","0281122005640001","051678-01-00","00","2020-02-15","2020-03-16","300","817200","0","0","東市ﾛｼﾞｽﾃｨｸｽ","","     ","     "," ","02","025375","","","","生鮮"
"88","034604024","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","16-20","4","P","6","2710","0","0281122005712001","054004-01-00","00","2020-03-12","2020-03-31","300","813900","0","0","東市ﾛｼﾞｽﾃｨｸｽ","","     ","     "," ","02","025375","","","","生鮮"
"89","034604024","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","16-20","4","P","6","2710","0","0281122005751001","055290-01-00","00","2020-03-27","2020-04-14","300","813900","0","0","東市ﾛｼﾞｽﾃｨｸｽ","","     ","     "," ","02","025375","","","","生鮮"
"90","034604024","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","16-20","4","P","6","2710","0","0281122005790001","056796-01-00","00","2020-04-11","2020-04-25","300","819300","0","0","東市ﾛｼﾞｽﾃｨｸｽ","","     ","     "," ","02","025375","","","","生鮮"
"91","034604024","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","16-20","4","P","6","2710","0","0281122005814001","057619-01-00","00","2020-04-23","2020-05-02","300","814800","144","0","東市ﾛｼﾞｽﾃｨｸｽ","","     ","     "," ","02","025375","","","","生鮮"
"92","034604025","BTﾑﾄｳｴﾋﾞｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","21-25","4","P","6","0","0","0281012103477005","","00","2020-04-09","2020-04-09","0","0","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"93","034604622","BTﾑﾄｴﾋﾞAﾖｳｼﾖｸPB","13-15","4","P","6","0","0","0210213094031005","","00","2020-05-02","2020-05-02","0","-3600","0","0","大京１","","20025","     "," ","02","020732","ｲﾝﾄﾞﾈｼｱ","","","生鮮"
"94","034604722","BTﾑﾄｴﾋﾞAｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","13-15","4","P","6","0","0","0281042006165001","","00","2020-04-03","2020-04-04","3","25800","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"95","034604724","BTﾑﾄｴﾋﾞAｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","16-20","4","P","6","0","0","0281012103654009","","00","2020-03-27","2020-03-27","0","23700","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"96","034604725","BTﾑﾄｴﾋﾞAｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","21-25","4","P","6","3108","0","0281012103654010","","00","2020-04-06","2020-05-01","28","87152","18","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"97","034604726","BTﾑﾄｴﾋﾞAｲﾝﾄﾞﾈｼｱﾖｳｼﾖｸ","26-30","4","P","6","0","0","0281042005893001","","00","2020-04-02","2020-04-21","6","16800","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"98","034604815","BTﾑﾄｴﾋﾞAﾖｳｼﾖｸPB","8-12","4","P","6","4900","0","0210213115201001","","00","2020-04-07","2020-04-07","1","4900","1","0","大京１","","20025","     "," ","02","020732","ｲﾝﾄﾞﾈｼｱ","","","生鮮"
"99","034604824","BTﾑﾄｴﾋﾞAﾖｳｼﾖｸPB","16-20","4","P","6","0","0","0210213093414002","","00","2020-05-02","2020-05-02","12","42000","0","0","大京１","","20025","     "," ","02","020732","ｲﾝﾄﾞﾈｼｱ","","","生鮮"
"100","034604825","BTﾑﾄｴﾋﾞAﾖｳｼﾖｸPB","21-25","4","P","6","0","0","0210213093447003","","00","2020-02-29","2020-03-02","6","15900","0","0","大京１","","20025","     "," ","02","020732","ｲﾝﾄﾞﾈｼｱ","","","生鮮"
